System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:45:36:467, 241461425730042,    0.111,   11.000, 2100,   7.715,   0.854,   0.237,   2.539,   0.281,   0.078, 65,  0,   0.000,   0.000,   0.000,   0.001,   0.000,   0.000,  35.000,  51.000, 123.000,   0.000,   0.000,  153,  63.332
13:45:36:578, 241461703287428,    0.222,   21.000, 4000,  10.534,   2.026,   0.563,   4.764,   0.811,   0.225, 85,  0,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  35.000,  51.000, 123.000,   0.000,   0.000,    0,  80.434
13:45:36:832, 241462336770944,    0.476,   82.000, 3300,  13.168,   5.368,   1.491,   7.013,   2.591,   0.720, 67,  0,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  35.000,  51.000, 123.000,   0.000,   0.000,    0,  79.761
13:45:36:943, 241462613754273,    0.587,   23.000, 2300,   8.818,   6.346,   1.763,   2.741,   2.895,   0.804, 66,  0,   0.000,   0.000,   0.000,   0.001,   0.000,   0.000,  35.000,  51.000, 123.000,   0.000,   0.000,    0,  77.382
13:45:37:054, 241462891717974,    0.698,   16.000, 1500,   9.895,   7.448,   2.069,   3.948,   3.335,   0.926, 66,  0,   0.000,   0.000,   0.000,   0.001,   0.000,   0.000,  35.000,  51.000, 123.000,   0.000,   0.000,    0,  80.138
13:45:37:165, 241463168022254,    0.809,   12.000, 2200,   7.052,   8.229,   2.286,   1.502,   3.501,   0.972, 66,  0,   0.000,   0.000,   0.000,   0.001,   0.000,   0.000,  35.000,  51.000, 123.000,   0.000,   0.000,    1,  79.432
13:45:37:275, 241463443917632,    0.919,   11.000, 2700,   6.927,   8.995,   2.499,   2.015,   3.724,   1.034, 70,  0,   0.000,   0.000,   0.000,   0.001,   0.000,   0.000,  35.000,  51.000, 123.000,   0.000,   0.000,  163,  64.472
13:45:37:380, 241463706239059,    1.024,   39.000, 3300,  16.902,  10.771,   2.992,  10.567,   4.834,   1.343, 74,  0,   0.000,   0.000,   0.000,   0.056,   0.006,   0.002,  35.000,  51.000, 123.000,   0.000,   0.000,   23,  74.169
13:45:37:385, 241463727883618,    1.033,   76.000, 3300,  15.013,  10.901,   3.028,  33.496,   5.125,   1.424, 80,  0,   0.000,   0.000,   0.000,   0.155,   0.008,   0.002,  35.000,  51.000, 123.000,   0.000,   0.000, 1177,   0.621

Total Elapsed Time (sec) = 1.033092
Measured RDTSC Frequency (GHz) = 2.496

Cumulative Processor Energy_0 (Joules) = 10.901245
Cumulative Processor Energy_0 (mWh) = 3.028124
Average Processor Power_0 (Watt) = 10.552061

Cumulative IA Energy_0 (Joules) = 5.124695
Cumulative IA Energy_0 (mWh) = 1.423526
Average IA Power_0 (Watt) = 4.960543

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.007629
Cumulative GT Energy_0 (mWh) = 0.002119
Average GT Power_0 (Watt) = 0.007385
